review,brand,variety,style,country,stars
1,Westbrae,Miso Ramen,Pack,United States,0.5
2,Wai Wai,Tom Yum Chili Flavor,Pack,Thailand,2
3,Wai Wai,Tom Yum Shrimp,Pack,Thailand,2
4,Wai Wai,Oriental Style Instant Noodles,Pack,Thailand,1
5,Vifon,"Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles",Bowl,Vietnam,3.5
6,Vifon,Nam Vang,Pack,Vietnam,2.5
7,Ve Wong,Mushroom Pork,Pack,Vietnam,1
8,Tung-I,Chinese Beef Instant Rice Noodle,Pack,Taiwan,3
9,Sutah,Cup Noodle,Cup,South Korea,2
10,Smack,Vegetable Beef,Pack,United States,1.5
11,Six Fortune,Chicken Flavor Instant Soup Noodle,Pack,South Korea,2
12,Sapporo Ichiban,Shrimp Flavor,Pack,Japan,2.5
13,Sapporo Ichiban,Chow Mein,Pack,Japan,5
14,Samyang,Hot,Pack,South Korea,3.5
15,Samyang,Pojangmacha U-dong,Pack,South Korea,2.5
16,Samyang,Kalgug-Su (Spicy),Pack,South Korea,3.5
17,Quickchow,Pancit Palabok,Pack,Philippines,2.5
18,Ottogi,Jin Ramen (Hot Taste),Pack,South Korea,3.5
19,Nongshim,Shin Ramyun,Pack,South Korea,4
20,Nongshim,Neoguri (Seafood'n'Spicy),Pack,South Korea,3.5
21,Nongshim,Champong Oriental Noodles,Pack,South Korea,4
22,Nongshim,Ansungtangmyun Noodle Soup,Pack,South Korea,3.75
23,Nissin,Top Ramen Creamy Chicken,Pack,United States,4.5
24,Nissin,Demae Ramen Spicy Seafood With Chili Pepper,Pack,Japan,2
25,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,3
26,Nissin,Soba Noodles With Mayo Mustard Squirt,Pack,Japan,4
27,Nissin,Demae Ramen Curry Flavor,Pack,Japan,4
28,Nissin,Chikin Ramen,Pack,Japan,5
29,Mee Jang,Tom Yum Shrimp,Bowl,Thailand,3.5
30,Myojo,Special Duck,Pack,Japan,1
32,Koka,Mi Hai Cua Crab Flavor,Pack,Singapore,3.5
33,Koka,Mi Hai Tom Prawn,Pack,Singapore,3.75
34,Maruchan,Ramen Noodle Soup Shrimp,Pack,United States,2
35,Mama,Chand Clear Soup,Pack,Thailand,3
36,Lucky Me!,Itnok,Pack,Philippines,3
37,Lucky Me!,Pancit Canton Hot Chili Flavor,Pack,Philippines,3
38,Lucky Me!,Pancit Canton Citrus Flavor,Pack,Philippines,3
39,Lucky Me!,Supreme Bulalo Flavor,Bowl,Philippines,3
40,Lucky Me!,Pancit Canton Chili Mansi,Pack,Philippines,3
41,Little Cook,Pork Mustard Stem,Bowl,Thailand,0.5
42,Ve Wong,Kung-Fu Chicken Flavor,Pack,Vietnam,2.75
43,Kim Ve Wong,Jaopai Series: Vegetarian Instant Noodles,Bowl,Taiwan,0
44,Indomie,Special Chicken,Pack,Indonesia,4.25
45,Indomie,Mi Goreng Sate,Pack,Indonesia,5
46,Indomie,Mi Goreng Jumbo Meatball,Pack,Indonesia,3
47,Indomie,Mi Goreng Jumbo Barbecue Chicken,Pack,Indonesia,5
48,Indomie,Shrimp Flavor,Pack,Indonesia,3
49,Indomie,Mi Goreng Pedas Hot,Pack,Indonesia,4.5
50,Indomie,Mi Goreng,Pack,Indonesia,5
51,Indomie,Curly Noodles With Grilled Chicken,Pack,Indonesia,5
52,Indomie,Chicken Curry,Pack,Indonesia,4
53,Indomie,Chicken,Cup,Indonesia,2
54,Huafeng,Spicy Seafood Flavor,Pack,China,3
55,Huafeng,Favoury Pork Flavor,Pack,China,1
56,Doll,Instant Noodles With Sesame Oil & Soup Base,Pack,Hong Kong,1
58,Ve Wong,A-One Bun Tom Shrimp,Pack,Taiwan,3
59,Maggi,Chinese Noodles Lemon Chicken Flavor,Pack,India,3.5
60,Maggi,Vegetable Atta Noodles Masala,Pack,India,2
61,Maggi,2 Minute Noodles Curry,Pack,India,2.5
62,Maggi,Rice Noodle Mania Lemon Masala,Pack,India,1.5
63,Nissin,Souper Meal Chicken Flavor With Vegetable Medley,Bowl,Japan,3
64,Sapporo Ichiban,Chicken Flavor,Pack,United States,3.5
65,Nissin,Top Ramen Oriental,Pack,United States,2.5
66,Maruchan,Ramen Noodle Soup Pork,Pack,United States,4
67,Maruchan,Ramen Noodle Soup Lime Chili Shrimp,Pack,United States,2
68,Wei Lih,Jah Jan Mien Instant Noodle With Fried Soybean Paste,Pack,Taiwan,4
69,Baijia,Spicy Fei- Chang Sweet Potato Noodle,Pack,China,1.75
70,Nissin,Demae Ramen XO Sauce Seafood,Pack,Japan,4
71,Nissin,Demae Ramen Satay,Pack,Japan,2.5
72,Nissin,Demae Ramen Tonkatsu Artificial Pork,Pack,Japan,3.5
73,Nissin,Demae Ramen Five Spices Artificial Beef,Pack,Japan,3.5
74,Nissin,Demae Ramen Shoyu,Pack,Japan,4
75,Indomie,Mi Goreng Rendang,Pack,Indonesia,4.5
76,Indomie,Meatball Flavor,Pack,Indonesia,2.5
77,Nissin,Demae Ramen Prawn,Pack,Japan,3.25
78,Nissin,Demae Ramen Seafood,Pack,Japan,2.5
79,Sapporo Ichiban,Kitsune Udon,Pack,Japan,3.25
80,Unif / Tung-I,Artificial Chicken,Pack,Taiwan,3.5
81,Unif / Tung-I,Artificial Spicy Beef,Pack,Taiwan,3.5
82,Nissin,Demae Ramen Miso,Pack,Japan,2.75
83,Nissin,Demae Ramen Spicy Flavor,Pack,Japan,2
84,Samyang,Kalgug-Su Assorted Clam,Pack,South Korea,1.8
85,Nissin,Demae Ramen Sesame,Pack,Japan,3.75
86,Unif / Tung-I,Onion Flavor,Pack,Taiwan,3.65
87,Wai Wai,Tom Yum Shrimp Cream Soup,Pack,Thailand,2.75
88,Paldo,South Korean Noodle Chicken,Pack,South Korea,3.25
89,Unif,100 Artificial Stewed Pork Chop,Pack,Taiwan,3.2
90,Long Kow,Crystal Noodle Six Kinds Of Mushrooms,Pack,China,2.3
91,Binh Tay,Mi Chay Mushroom,Pack,Vietnam,2.75
92,Fashion Foods,Tom Yum Seafood Creamy,Bowl,Thailand,2
93,Payless,Xtra Big Original Pancit Canton,Pack,Philippines,4.5
94,Mama,Artificial Chicken,Pack,Thailand,2.5
95,Wei Lih,Artificial Beef Flavor,Pack,Taiwan,1
96,Saigon Ve Wong,Kung Fu Artificial Pork Flavor,Pack,Vietnam,3.75
97,Saigon Ve Wong,Kung Fu Mi Tom Chua Sour Shrimp,Pack,Vietnam,2.5
98,Unif / Tung-I,Chah Chiang,Pack,Taiwan,2.5
99,Ve Wong,Kung Fu Artificial Onion,Pack,Taiwan,2.75
100,Unif / Tung-I,Artificial Chinese Beef,Pack,Taiwan,2.85
101,Ve Wong,Artificial Sesame Chicken,Pack,Taiwan,4.25
102,Indomie,Soto Mie,Pack,Indonesia,1.5
